name_of_satellite_alternate_names,country_of_operator_owner,operator_owner,users,purpose,class_of_orbit,type_of_orbit,longitude_of_geo_degrees,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes,launch_mass_kg,dry_mass_kg,power_watts,date_of_launch,expected_lifetime,contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number,comments,serialid
Intelsat 901 ,USA,"""Intelsat, Ltd.""",Commercial,Communications,GEO,"",-18.01,"""35,775""","""35,798""",2.73E-04,0.01,1436.12,"""4,723""","""1,972""","""10,000""",2001-06-09,13 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2AS,2001-024A,26824,"""72 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Atlantic Ocean region.""",448
Intelsat 902 ,USA,"""Intelsat, Ltd.""",Commercial,Communications,GEO,"",62.05,"""35,775""","""35,797""",0.00E+00,1436.1,1436.1,"""4,723""","""1,972""","""8,500""",2001-08-30,13 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 44L,2001-039A,26900,"""76 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Indian Ocean region.""",449
Intelsat 903 ,USA,"""Intelsat, Ltd.""",Commercial,Communications,GEO,"",-34.55,"""35,773""","""358,802""",7.93E-01,0.02,1436.16,"""4,723""","""1,972""","""8,600""",2002-03-30,13 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 44L,2002-016A,27403,"""76 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Atlantic Ocean region.""",450
Intelsat 904 ,USA,"""Intelsat, Ltd.""",Commercial,Communications,GEO,"",60.05,"""35,782""","""35,789""",8.30E-05,0.01,1436.07,"""4,680""","""2,350""","""8,500""",2002-02-23,13 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,2002-007A,27380,"""76 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Indian Ocean region.""",451
Intelsat 905 ,USA,"""Intelsat, Ltd.""",Commercial,Communications,GEO,"",-24.52,"""35,768""","""35,805""",4.39E-04,0.01,1436.12,"""4,723""","""1,984""","""10,000""",2002-06-05,13 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 44L,2002-027A,27438,"""76 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Atlantic Ocean region.""",452
Intelsat 906 ,USA,"""Intelsat, Ltd.""",Commercial,Communications,GEO,"",64.19,"""35,775""","""35,796""",2.49E-04,0.01,1436.07,"""4,723""","""1,955""","""7,000""",2002-09-06,13 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 44L,2002-041A,27513,"""72 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks.""",453
Intelsat 907 ,USA,"""Intelsat, Ltd.""",Commercial,Communications,GEO,"",-27.45,"""35,770""","""35,803""",3.91E-04,0.02,1436.1,"""4,685""","""1,973""","""10,000""",2003-02-15,13 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 44L,2003-007A,27683,"""76 C-band transponders; business, video, internet.""",454
Intelsat APR-2 (INSAT 2E),USA,"""Intelsat, Ltd.""",Commercial,Communications,GEO,"",83.03,"""35,769""","""35,804""",4.15E-04,0.18,1436.11,"""2,550""","""1,150""","""2,000""",1999-04-03,12 yrs.,Aerospatiale ,France,Xichang Satellite Launch Center,Long March CZ3B,1999-016A,25666,"""6 C-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Asia Pacific region.""",455
Intelsat New Dawn,USA,"""Intelsat, Ltd.""",Commercial,Communications,GEO,"",32.8,"""35,800""","""35,892""",1.09E-03,0.05,1439.15,"""3,000""","""1,283""","""4,800""",2011-04-22,15 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,2011-016A,37392,"""Carries 14 active C-band transponders and 16 Ku-band transponders to serve customers in Africa, the Middle East, Pakistan and Western Europe; the C-band antenna has failed to deploy as of 6/11.""",456
International Space Station (ISS [first element Zarya]),Multinational,NASA/Multinational,Government,Science,LEO,Intermediate,0,393,399,4.43E-04,51.5,92.7,"","","",1998-11-20,30+ yrs.,Boeing Satellite Systems (prime)/Multinational,Multinational,Baikonur Cosmodrome,Proton,1998-067A,25544,Final size of a Boeing 747; first component.,457
Interstellar Boundary EXplorer (IBEX),USA,NASA/Goddard Space Flight Center,Government,Space Physics,Elliptical,Deep Highly Eccentric,0,"""7,000""","""320,000""",9.21E-01,11,8 days,462,"","",2008-10-19,"",Orbital Sciences Corp.,USA,Kwajalein Island,Pegasus XL,2008-051A,33401,Monitor the boundary between heliosphere and interstellar medium.,458
Iridium 10 (Iridium SV010),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,775,778,2.10E-04,86.4,100.37,689,556,"""1,400 (EOL)""",1997-06-18,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1997-030D,24839,"""66 satellite constellation with 13 spares; 15-20 ground stations with master control complex in Landsdowne, VA; backup in Italy, third engineering center in Chandler, AZ; Filed for Chapter 11 in 2000; started to let system deorbit. Iridium Satellite LLC purchased assets of Iridium LLC. DoD stepped in-- renewable DoD contract; unlimited airtime to 20,000 govt. workers; mobile voice, data and paging""",459
Iridium 11A (Iridium SVO88),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,687,713,1.84E-03,86.5,98.77,689,556,"""1,400 (EOL)""",1998-12-19,8 yrs.,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1998-074B,25578,"",460
Iridium 12 (Iridium SV012),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,773,782,6.30E-04,86.3,100.4,689,556,"""1,400 (EOL)""",1997-06-18,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1997-030B,24837,"",461
Iridium 13 (Iridium SV013),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,773,781,5.60E-04,86.3,100.38,689,556,"""1,400 (EOL)""",1997-06-18,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1997-030E,24840,"",462
Iridium 14A (Iridium SV092),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,708,711,2.12E-04,86.5,98.98,689,556,"""1,400 (EOL)""",1999-06-11,8 yrs.,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1999-032A,25777,"",463
Iridium 15 (Iridium SV015),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,774,780,4.20E-04,86.4,100.38,689,556,"""1,400 (EOL)""",1997-07-09,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-034A,24869,"",464
Iridium 18 (Iridium SV018),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,772,782,7.00E-04,86.4,100.38,689,556,"""1,400 (EOL)""",1997-07-09,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-034D,24872,"",465
Iridium 19 (Iridium SV019),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,775,778,2.10E-04,86.3,100.37,689,556,"""1,400 (EOL)""",1997-09-27,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-056A,24965,"",466
Iridium 20A (Iridium SV089),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,685,712,1.91E-03,86.5,98.74,689,556,"""1,400 (EOL)""",1998-12-19,8 yrs.,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1998-074A,25577,"",467
Iridium 21A (Iridium SVO93),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,709,711,1.41E-04,86.5,98.98,689,556,"""1,400 (EOL)""",1999-06-11,8 yrs.,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1999-032B,25778,"",468
Iridium 22 (Iridium SV022),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,776,778,1.40E-04,86.4,100.38,689,556,"""1,400 (EOL)""",1997-08-21,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-043E,24907,"",469
Iridium 23 (Iridium SV023),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,775,779,2.80E-04,86.3,100.38,689,556,"""1,400 (EOL)""",1997-08-21,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-043D,24906,"",470
Iridium 25 (Iridium SV025),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,775,780,3.50E-04,86.4,100.4,689,556,"""1,400 (EOL)""",1997-08-21,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-043B,24904,"",471
Iridium 29 (Iridium SV029),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,776,778,1.40E-04,86.4,100.38,689,556,"""1,400 (EOL)""",1997-09-14,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1997-051A,24944,"",472
Iridium 3 (Iridium SV078),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,776,779,2.10E-04,86.3,100.4,689,556,"""1,400 (EOL)""",1998-08-19,8 yrs.,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1998-048A,25431,"",473
Iridium 30 (Iridium SV030),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,774,780,4.20E-04,86.3,100.38,689,556,"""1,400 (EOL)""",1997-09-14,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1997-051F,24949,"",474
Iridium 31 (Iridium SVO31),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,776,778,1.40E-04,86.4,100.38,689,556,"""1,400 (EOL)""",1997-09-14,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1997-051G,24950,"",475
Iridium 32 (Iridium  SV032),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,776,778,1.40E-04,86.4,100.38,689,556,"""1,400 (EOL)""",1997-09-14,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1997-051B,24945,"",476
Iridium 34 (Iridium SV034),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,775,779,2.80E-04,86.4,100.38,689,556,"""1,400 (EOL)""",1997-09-27,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-056E,24969,"",477
Iridium 35 (Iridium SV035),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,775,779,2.80E-04,86.4,100.38,689,556,"""1,400 (EOL)""",1997-09-27,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-056B,24966,"",478
Iridium 37 (Iridium SV037),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,776,778,1.40E-04,86.3,100.38,689,556,"""1,400 (EOL)""",1997-09-27,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-056D,24968,"",479
Iridium 39 (Iridium SV039),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,"""1,400 (EOL)""",1997-11-09,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-069D,25042,"",480
Iridium 4 (Iridium SV004),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,771,784,9.09E-04,86.4,100.4,689,556,"""1,400 (EOL)""",1997-05-05,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-020E,24796,"",481
Iridium 40 (Iridium SV040),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,767,770,2.10E-04,86.4,100.21,689,556,"""1,400 (EOL)""",1997-11-09,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-069C,25041,"",482
Iridium 41 (Iridium SV041),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,775,778,2.10E-04,86.4,100.37,689,556,"""1,400 (EOL)""",1997-11-09,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-069B,25040,"",483
Iridium 42 (Iridium SV042),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,764,766,1.40E-04,86.4,100.13,689,556,"""1,400 (EOL)""",1997-12-08,8 yrs.,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1997-077A,25077,"",484
Iridium 43 (Iridium SV043),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,"""1,400 (EOL)""",1997-11-09,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-069A,25039,"",485
Iridium 45 (Iridium SV045),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,775,779,2.80E-04,86.4,100.38,689,556,"""1,400 (EOL)""",1997-12-20,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-082A,25104,"",486
Iridium 47 (Iridium SV047),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,775,779,2.80E-04,86.4,100.38,689,556,"""1,400 (EOL)""",1997-12-20,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-082C,25106,"",487
Iridium 49 (Iridium SV049),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,775,779,2.80E-04,86.4,100.38,689,556,"""1,400 (EOL)""",1997-12-20,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-082E,25108,"",488
Iridium 5 (Iridium SV005),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,769,784,1.05E-03,86.4,100.4,689,556,"""1,400 (EOL)""",1997-05-05,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-020D,24795,"""According to Rod Sladen, the only person who tracks the Iridium system, Iridium 51 may have replaced Iridium 5, but its not certain at this time.""",489
Iridium 50 (Iridium SV050),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,774,779,3.50E-04,86.4,100.37,689,556,"""1,400 (EOL)""",1998-02-18,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-010D,25172,"",490
Iridium 51 (Iridium SV 051),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,747,750,2.11E-04,86.5,99.8,689,556,"""1,400 (EOL)""",1998-03-25,8 yrs.,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1998-018A,25262,Iridium 51 and Iridium 5 were first confused by OIG. They have been correctly separated.,491
Iridium 52 (Iridium SV052),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,774,781,4.90E-04,86.3,100.4,689,556,"""1,400 (EOL)""",1998-02-18,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-010A,25169,"",492
Iridium 53 (Iridium SV053),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,775,779,2.80E-04,86.3,100.38,689,556,"""1,400 (EOL)""",1998-02-18,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-010E,25173,"",493
Iridium 54 (Iridium SV054),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,690,695,3.54E-04,86.5,98.61,689,556,"""1,400 (EOL)""",1998-02-18,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-010C,25171,"",494
Iridium 55 (Iridium SV055),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,774,780,4.20E-04,86.3,100.38,689,556,"""1,400 (EOL)""",1998-03-30,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-019A,25272,"",495
Iridium 56 (Iridium SV056),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,775,780,3.50E-04,86.3,100.4,689,556,"""1,400 (EOL)""",1998-02-18,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-010B,25170,"",496
Iridium 57 (Iridium SV057),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,775,779,2.80E-04,86.4,100.38,689,556,"""1,400 (EOL)""",1998-03-30,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-019B,25273,"",497
Iridium 58 (Iridium SV058),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,776,778,1.40E-04,86.3,100.38,689,556,"""1,400 (EOL)""",1998-03-30,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-019C,25274,"",498
Iridium 59 (Iridium SV059),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,775,780,3.50E-04,86.3,100.4,689,556,"""1,400 (EOL)""",1998-03-30,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-019D,25275,"",499
Iridium 6 (Iridium SV006),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,773,782,6.30E-04,86.4,100.4,689,556,"""1,400 (EOL)""",1997-05-06,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-020C,24794,"",500
Iridium 60 (Iridium SV060),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,773,781,5.60E-04,86.3,100.38,689,556,"""1,400 (EOL)""",1998-03-30,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-019E,25276,"",501
Iridium 61 (Iridium SV061),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,693,696,2.12E-04,86.5,98.65,689,556,"""1,400 (EOL)""",1998-03-25,8 yrs.,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1998-018B,25263,"",502
Iridium 62 (Iridium SV062),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,776,778,1.40E-04,86.4,100.38,689,556,"""1,400 (EOL)""",1998-04-07,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1998-021A,25285,"",503
Iridium 63 (Iridium SV063),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,775,780,3.50E-04,86.3,100.4,689,556,"""1,400 (EOL)""",1998-04-07,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1998-021B,25286,"",504
Iridium 64 (Iridium SV064),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,775,779,2.80E-04,86.4,100.38,689,556,"""1,400 (EOL)""",1998-04-07,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1998-021C,25287,"",505
Iridium 65 (Iridium SV065),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,776,778,1.40E-04,86.4,100.38,689,556,"""1,400 (EOL)""",1998-04-07,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1998-021D,25288,"",506
Iridium 66 (Iridium SV066),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,772,782,7.00E-04,86.4,100.38,689,556,"""1,400 (EOL)""",1998-04-07,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1998-021E,25289,"",507
Iridium 67 (Iridium SV067),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,773,781,5.60E-04,86.4,100.38,689,556,"""1,400 (EOL)""",1998-04-07,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1998-021F,25290,"",508
Iridium 68 (Iridium SV068),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,775,779,2.80E-04,86.4,100.38,689,556,"""1,400 (EOL)""",1998-04-07,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1998-021G,25291,"",509
Iridium 7 (Iridium SV007),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,773,782,6.30E-04,86.4,100.4,689,556,"""1,400 (EOL)""",1997-05-05,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-020B,24793,"",510
Iridium 70 (Iridium SV070),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,776,779,2.10E-04,86.3,100.4,689,556,"""1,400 (EOL)""",1998-05-17,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-032A,25342,"",511
Iridium 72 (Iridium SV072),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,776,778,1.40E-04,86.4,100.38,689,556,"""1,400 (EOL)""",1998-05-17,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-032B,25343,"",512
Iridium 74 (Iridium SV074),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,776,779,2.10E-04,86.3,100.4,689,556,"""1,400 (EOL)""",1998-05-17,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-032D,25345,"",513
Iridium 75 (Iridium SV075),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,692,695,2.12E-04,86.5,98.63,689,556,"""1,400 (EOL)""",1998-05-17,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-032E,25346,"",514
Iridium 76 (Iridium SV076),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,775,779,2.80E-04,86.3,100.38,689,556,"""1,400 (EOL)""",1998-08-19,8 yrs.,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1998-048B,25432,"""Spare; stored in 667 km storage orbit, not raised to 780 km operational orbit until needed""",515
Iridium 77 (Iridium SV077),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,704,708,2.83E-04,86.5,98.89,689,556,"""1,400 (EOL)""",1998-09-08,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-051E,25471,"",516
Iridium 8 (Iridium SV008),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,774,780,4.20E-04,86.4,100.38,689,556,"""1,400 (EOL)""",1997-05-05,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-020A,24792,"",517
Iridium 80 (Iridium SV080),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,776,778,1.40E-04,86.4,100.38,689,556,"""1,400 (EOL)""",1998-09-08,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-051C,25469,"",518
Iridium 81 (Iridium SV081),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,776,778,1.40E-04,86.4,100.38,689,556,"""1,400 (EOL)""",1998-09-08,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-051B,25468,"""Spare; stored in 667 km storage orbit, not raised to 780 km operational orbit until needed""",519
Iridium 82 (Iridium SV082),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,704,708,2.83E-04,86.5,98.89,689,556,"""1,400 (EOL)""",1998-09-08,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-051A,25467,"",520
Iridium 83 (Iridium SV083),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,776,779,2.10E-04,86.3,100.4,689,556,"""1,400 (EOL)""",1998-11-06,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-066E,25531,"",521
Iridium 84 (Iridium SV084),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,701,705,2.83E-04,86.5,98.83,689,556,"""1,400 (EOL)""",1998-11-06,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-066D,25530,"""Spare; stored in 667 km storage orbit, not raised to 780 km operational orbit until needed""",522
Iridium 86 (Iridium SV086),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,744,752,5.62E-04,86.5,98.85,689,556,"""1,400 (EOL)""",1998-11-06,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-066B,25528,Operational,523
Iridium 90 (Iridium SV090),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,670,673,2.13E-04,86.5,97.4,689,556,"""1,400 (EOL)""",2002-02-11,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2,2002-005B,27373,"""Spare; stored in 670 km storage orbit, not raised to 780 km operational orbit until needed""",524
Iridium 91 (Iridium SV091),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,670,673,2.13E-04,86.5,97.44,689,556,"""1,400 (EOL)""",2002-02-11,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2,2002-005A,27372,"""Spare; stored in 670 km storage orbit, not raised to 780 km operational orbit until needed""",525
Iridium 94 (Iridium SV094),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,670,673,2.13E-04,86.5,97.82,689,556,"""1,400 (EOL)""",2002-02-11,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2,2002-005C,27374,"""Spare; stored in 670 km storage orbit, not raised to 780 km operational orbit until needed""",526
Iridium 95 (Iridium SV095),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,670,673,2.13E-04,86.5,98.19,689,556,"""1,400 (EOL)""",2002-02-11,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2,2002-005D,27375,"""Spare; stored in 670 km storage orbit, not raised to 780 km operational orbit until needed""",527
Iridium 96 (Iridium SV096),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,670,673,2.13E-04,86.5,97.39,689,556,"""1,400 (EOL)""",2002-02-11,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2,2002-005E,27376,"""Spare; stored in 670 km storage orbit, not raised to 780 km operational orbit until needed""",528
Iridium 97 (Iridium SV097),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,670,673,2.13E-04,86.5,98.02,689,556,"""1,400 (EOL)""",2002-06-20,8 yrs.,Motorola Satellite Communications Group,USA,Plesetsk Cosmodrome,Rokot/BrizKM,2002-031A,27450,"""Spare; stored in 670 km storage orbit, not raised to 780 km operational orbit until needed""",529
Iridium 98 (Iridium SV098),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,0,658,666,5.69E-04,86.5,97.98,689,556,"""1,400 (EOL)""",2002-06-20,8 yrs.,Motorola Satellite Communications Group,USA,Plesetsk Cosmodrome,Rokot/BrizKM,2002-031B,27451,Operational,530
