Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Facility Type,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Borough,Latitude,Longitude
32273066,12/25/2015 15:59,12/29/2015 21:50,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,253 102 ST W,102 ST W,BROADWAY,WEST END AVE,102 ST W,WEST END AVE,INTERSECTION,,N/A,,12/29/2015 21:50,Unspecified MANHATTAN,MANHATTAN,,,MANHATTAN,,
32272967,12/25/2015 15:58,12/25/2015 23:07,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11368,34-28 106 STREET,106 STREET,34 AVENUE,37 AVENUE,,,ADDRESS,CORONA,Precinct,12/25/2015 23:58,12/25/2015 23:07,03 QUEENS,QUEENS,1022381,214482,QUEENS,40.75529783,-73.86236816
32277689,12/25/2015 15:58,2/3/2016 11:31,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10452,152 EAST  171 STREET,EAST  171 STREET,,,,,ADDRESS,BRONX,N/A,,2/3/2016 11:31,04 BRONX,BRONX,1007999,245400,BRONX,40.84020961,-73.91416985
32271102,12/25/2015 15:57,12/30/2015 6:56,DOT,Department of Transportation,Highway Sign - Damaged,Exit/Route,Highway,,,,,,,,,,N/A,1/8/2016 15:57,12/30/2015 6:56,Unspecified QUEENS,QUEENS,,,QUEENS,,
32271459,12/25/2015 15:57,12/25/2015 18:57,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,11237,270 BLEECKER STREET,BLEECKER STREET,MYRTLE AVENUE,IRVING AVENUE,,,ADDRESS,BROOKLYN,Precinct,12/25/2015 23:57,12/25/2015 18:57,04 BROOKLYN,BROOKLYN,1007247,194078,BROOKLYN,40.69934617,-73.91706322
32273425,12/25/2015 15:57,12/31/2015 1:10,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10452,140 EAST  170 STREET,EAST  170 STREET,,,,,ADDRESS,BRONX,N/A,,12/31/2015 1:10,04 BRONX,BRONX,1007839,244991,BRONX,40.83908745,-73.91474953
32271723,12/25/2015 15:52,12/25/2015 15:52,DOB,Department of Buildings,Elevator,Elevator - Defective/Not Working,,11354,143-40 ROOSEVELT AVENUE,ROOSEVELT AVENUE,,,,,ADDRESS,Flushing,N/A,,12/25/2015 0:00,07 QUEENS,QUEENS,1033284,216713,QUEENS,40.7613676,-73.82299818
32271093,12/25/2015 15:52,12/25/2015 17:02,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11420,130-04 116 AVENUE,116 AVENUE,130 STREET,131 STREET,,,ADDRESS,SOUTH OZONE PARK,Precinct,12/25/2015 23:52,12/25/2015 17:02,10 QUEENS,QUEENS,1037027,186280,QUEENS,40.677815,-73.80972545
32274493,12/25/2015 15:52,1/3/2016 19:42,HPD,Department of Housing Preservation and Development,SAFETY,FIRE ESCAPE,RESIDENTIAL BUILDING,11211,218 SOUTH    3 STREET,SOUTH    3 STREET,,,,,ADDRESS,BROOKLYN,N/A,,1/3/2016 19:42,01 BROOKLYN,BROOKLYN,995624,198392,BROOKLYN,40.71120965,-73.95897332
32275341,12/25/2015 15:52,1/3/2016 1:07,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11211,218 SOUTH    3 STREET,SOUTH    3 STREET,,,,,ADDRESS,BROOKLYN,N/A,,1/3/2016 1:07,01 BROOKLYN,BROOKLYN,995624,198392,BROOKLYN,40.71120965,-73.95897332
32277555,12/25/2015 15:52,1/3/2016 1:07,HPD,Department of Housing Preservation and Development,GENERAL,MAILBOX,RESIDENTIAL BUILDING,11211,218 SOUTH    3 STREET,SOUTH    3 STREET,,,,,ADDRESS,BROOKLYN,N/A,,1/3/2016 1:07,01 BROOKLYN,BROOKLYN,995624,198392,BROOKLYN,40.71120965,-73.95897332
32275229,12/25/2015 15:52,1/3/2016 1:07,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,11211,218 SOUTH    3 STREET,SOUTH    3 STREET,,,,,ADDRESS,BROOKLYN,N/A,,1/3/2016 1:07,01 BROOKLYN,BROOKLYN,995624,198392,BROOKLYN,40.71120965,-73.95897332
32275613,12/25/2015 15:52,1/3/2016 1:07,HPD,Department of Housing Preservation and Development,ELECTRIC,WIRING,RESIDENTIAL BUILDING,11211,218 SOUTH    3 STREET,SOUTH    3 STREET,,,,,ADDRESS,BROOKLYN,N/A,,1/3/2016 1:07,01 BROOKLYN,BROOKLYN,995624,198392,BROOKLYN,40.71120965,-73.95897332
32275321,12/25/2015 15:52,1/3/2016 1:07,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11211,218 SOUTH    3 STREET,SOUTH    3 STREET,,,,,ADDRESS,BROOKLYN,N/A,,1/3/2016 1:07,01 BROOKLYN,BROOKLYN,995624,198392,BROOKLYN,40.71120965,-73.95897332
